TIPO CONTRIBUYENTE;DOCUMENTO;RIM;CONTRIBUYENTE;TELEFONO;RESULTADO;OBSERVACIONES;PREGUNTA_1;PREGUNTA_2;PREGUNTA_3;PREGUNTA_4;PREGUNTA_5;PREGUNTA_6;PARROQUIA
JURIDICO;406304573;2900047859;ABDIA C.A.;4123277881;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;306655069;203R001627;ABITARE ILUMINACION ARQUITECTURA, C.A.;2617932168;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;400793963;2900039576;ABITARE MUEBLES Y ACCESORIOS, C.A.;2617932168;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403256462;7000001844;ABRAHAM BURGUER CA;4126504084;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;299224057;2900032215;ACCION GPS C.A;7499930;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;311735526;2900001508;ACCION INMEDIATA C.A.;2617921143;NO EXISTOSA;USUARIO ERRADO;;;;;;;COQUIVACOA
JURIDICO;70053542;2000051866;ACERO FABRICANTES CA;7362442;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;400845742;2900042277;ACERO IMPORT V, C.A;26179352403;NO EXISTOSA;TLF NO VALIDO;;;;;;;CHIQUINQUIRA
JURIDICO;409723720;2900052300;AC MARACAIBO C.A;2617400798;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;408795892;2900051443;ACOOZULL, C.A.;4166660750;EXITOSA;EMPRESA CERRADA;;;;;;;SANTA LUCIA
JURIDICO;402633343;2900041329;ACRILICOS Y FERRETERIA TITO C.A;4262685748;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;293580374;2900013580;ACROPOLIS, C.A.;2617977159;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;299739154;2900031233;ADABELA S.A;7961145;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;317503520;2900039609;ADIPERFORMANCE, C.A;2617400954;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;295309643;2900020063;ADM ARQUITECTURA DE MASAS, C.A.;2617480507;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;311599053;2900010788;ADMINISTRADORA DELGADO Y CAMPOS, C.A.;2617931286;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;70141484;2000084600;ADMINISTRADORA EL LAGO, C.A.;7916738;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403820040;2900043855;ADMIRAL SHIPPNG SERVICES C.A;2616177557;NO EXISTOSA;USUARIO ERRADO;;;;;;;COQUIVACOA
JURIDICO;315797631;2900019541;ADORNOS JAI, C.A.;4162625251;NO EXISTOSA;TLF NO VALIDO;;;;;;;CHIQUINQUIRA
JURIDICO;302549442;2000012368;ADORNOS TONY CARIBE CA;4146154300;EXITOSA;UTILIZA CAJA REGISTRADORA;NO;;NO;;;;CHIQUINQUIRA
JURIDICO;308814172;207R002035;ADORNOS Y VARIEDADES LIMA C.A.;4143624773;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;70298804;202R000539;ADUANA-IMPORTACION-EXPORTACION, C.A;7211461;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;70151382;2000011752;ADUANERA DEL ZULIA C. A;2617230375;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;70153350;2000010707;ADUANEROS, C.A.;7212915;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;412455052;7000001708;AEGIR LOGISTICS, C.A.;4246015930;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;408539527;2900052981;AES INVERSIONES Y SUMINISTRO C,A;4246631579;EXITOSA;SIN NOVEDAD;NO;;SI;;;;OLEGARIO VILLALOBOS
JURIDICO;298433353;2900029112;AFILADOS DEL ZULIA , C.A;7592029;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;388270;2000053042;AGA GAS C.A;2617644610;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;406677329;2900050429;AGATA ROSA, C.A.;4146762574;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;70486600;2000811749;AGENCIA ADUANAL SUR AMERICANA C.A.;7920110;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;302306264;2000021611;AGENCIA ADUANERA ALVAREZ C.A.;2617867322;NO EXISTOSA;NO CONTESTA;;;;;;;CECILIO ACOSTA
JURIDICO;70470968;2000052980;AGENCIA DE FESTEJO Y DEPOSITO LOS LOPEZ, C.A.;7641011;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;412126091;7000001327;AGENCIA DE VIAJES TURISMO Y RECREACION TRAVESIA DE LOS ANDES;2617760348;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;300548406;2000076578;AGENCIA FUNERARIA OCANDO C.A;7830197;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;70060840;2000052041;AGENCIA MARITIMA DE REPRESENTACIONES, C.A.;4246915723;EXITOSA;SIN NOVEDAD;NO;;NO;;;;OLEGARIO VILLALOBOS
JURIDICO;70060840;AR00000048;AGENCIA MARITIMA DE REPRESENTACIONES, C.A.;4167618569;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;300851567;2000811770;AGENCIA SELINGER, C.A.;7913285;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;75433548;2030000216;AGENCIAS GENERALES CONAVEN CA;2617211023;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;401343295;1900039124;AGROBANANAS LA CHINITA C.A;4262685748;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;293569788;2900013553;AGRO DIESEL ZULIA C.A;4146440464;EXITOSA;SIN NOVEDAD;SI;Saint;SI;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;410774797;7000001775;AGRO DISTRIBUCION LA CHINITA;4247035757;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;314203630;2900036209;AGROPECUARIA CAMPO 2000 C.A;7112035;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;293923530;2900040875;AGROPECUARIA LA CRIOLLITA C.A.;7351043;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;400020239;2900034891;AGROPECUARIA Y MASCOTAS 4DJ, C.A;4163642910;NO EXISTOSA;NO CONTESTA;;;;;;;ANTONIO BORJAS ROMERO
JURIDICO;412136364;7000001007;AGUA DEL RIO, CA;4146896708;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;412666177;7000001778;AGUA EXPRESS C.A;4143628818;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;304548567;2900010729;AGUA MINERAL SAN BENITO, C.A.;2617917323;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;408048825;7000001316;AGUAS NIAGARA, C.A.;4146446880;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;408048825;7000000244;AGUAS NIAGARA,C.A;4145180395;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;316164446;2900012327;AGUILA IMPORT, C.A.;4146179821;NO EXISTOSA;USUARIO ERRADO;;;;;;;CHIQUINQUIRA
JURIDICO;298621907;2900048456;AHUMADOS,C.A.;4146415753;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;294168558;2900016670;AIRE ACONDICIONADO CENTRAL C.A;7594843;EXITOSA;SIN NOVEDAD;NO;;SI;;;;CHIQUINQUIRA
JURIDICO;404056629;2900044493;AISLANTES TERMOACUSTICOS DE VENEZUELA;4246598834;EXITOSA;ESTAN CERRADOS;NO;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;400696100;2900038614;ALARCON IMPORT,C.A;4143609144;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;296940738;2900028409;ALBA MODA C.A.;2617233101;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;295971176;2900024092;ALBA MUEBLES,C.A;2614226863;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;293784220;2900015784;ALCON,C.A;2617413169;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;314537938;2900041630;ALEACIONES METALICAS, C.A;4146144958;EXITOSA;SE FUERON DEL PAIS;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;406301795;2900047127;ALEJANDRA RIVERA, C.A;2615235560;NO EXISTOSA;NO CONTESTA;;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;404895302;2900045695;ALEJANDRA VARIEDADES Y FANTASIA I, C.A.;2617238256;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;411446998;7000000334;ALEX MOVIL,C.A;4246692605;EXITOSA;NO ESTÁ INTERESADO;NO;;NO;;;;CHIQUINQUIRA
JURIDICO;90285954;2000074348;ALFARERIA CARIDAD C.A.;2617419962;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;70022914;2000071741;ALFARERIA Y CERAMICA DEL CARIBE, C.A.;7521220;NO EXISTOSA;NO CONTESTA;;;;;;;CACIQUE MARA
JURIDICO;308858617;208C000025;ALFERCA ZULIA II C.A.;7527701;NO EXISTOSA;NO CONTESTA;;;;;;;CACIQUE MARA
JURIDICO;70164689;2000042374;ALFOMBRAS IBERIA SRL;4127812426;NO EXISTOSA;TLF NO VALIDO;;;;;;;SANTA LUCIA
JURIDICO;401697852;2900040388;ALICTRONIS, S.A;4146505022;EXITOSA;SIN NOVEDAD;SI;Saint;SI;ALTA;SATISFACTORIA;ES SENCILLO DE MANEJAR;CHIQUINQUIRA
JURIDICO;402010354;2900040092;ALIMENTOS DE OCCIDENTE PALMA REAL C.A.;2616170835;NO EXISTOSA;TLF NO VALIDO;;;;;;;ANTONIO BORJAS ROMERO
JURIDICO;400383552;2900038561;ALIMENTOS E INSUMOS D OCCIDENTE C.A;2617361187;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;296046344;2900027661;ALIMENTOS KUNANA CA;7937317;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;411071196;7000000195;ALIMENTOS LA CHURRERIA, C.A.;4146215918;EXITOSA;CERRADOS TEMPORALMENTE;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;400887470;2900043958;ALIMENTOS MASAL C.A;2617376059;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;410321350;7000000077;ALIMENTOS MOLIZALEZ DE VENEZUELA,C.A;2619354346;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;413126;2000060501;ALIMENTOS POLAR COMERCIAL C.A;2617351389;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;400207568;2900034721;ALIMENTOS RALLETAS, C.A.;2617980970;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;311573178;2900000766;ALIMENTOS SANTA RITA, C.A.;2617400058;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;411475483;7000000165;ALIMENTOS TRIGO DORADO,C.A;4146775151;NO EXISTOSA;USUARIO ERRADO;;;;;;;VENANCIO PULGAR
JURIDICO;409015360;2900051513;ALL PC IT, C.A;7946311;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;298034858;2900026898;ALMACEN ANTONIA C.A;7211047;EXITOSA;SIN NOVEDAD;NO;;NO;;;;CHIQUINQUIRA
JURIDICO;294843417;2900041104;ALMACENES ESPACIO Y DISEÑO 123, C.A.;2613279376;NO EXISTOSA;NO CONTESTA;;;;;;;IDELFONSO VASQUEZ
JURIDICO;70232765;2000042606;ALMACEN JAPONES S.R.L.;2617922133;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;70169524;2900027458;ALMACEN LOS MOROCHOS, C.A.;7983155;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;298587270;7000001427;ALMENDROS RECEPCIONES, CA;4246470531;EXITOSA;NO ESTA FUNCIONANDO;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;403049009;7000000875;ALMOISVAL C.A;2617210051;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;622787;2900014898;ALPLA DE VENEZUELA, S.A.;2617363530;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;405819731;2900047768;ALTA BARBERIA CARLOS C.A;2617651754;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;301138430;2000813525;ALTA MODA, C.A.;7595421;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;316313700;2900012174;ALTHOM ELECTRONICS, C.A;7224156;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;314533223;2900030889;ALUGLASS ZULIA;4146362597;NO EXISTOSA;USUARIO ERRADO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403069590;1900047181;ALUMINIOS TECNOLOGICOS C.A;7363710;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;406845140;7000001829;AMA HOGAR 1436 C.A;4246078316;NO EXISTOSA;NO CONTESTA;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;412952897;7000002132;AM AND AS PARTS,C.A;4246455303;EXITOSA;CERRADOS TEMPORALMENTE;;;;;;;CHIQUINQUIRA
JURIDICO;400092043;2900042261;AMBIEMTE CREATIVOS C.A.;2617434002;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;295699735;2900030714;AMCORP, C.A;2617380434;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;154089574;7000001907;ANA KARINA MEDRANO AVEDAÑO;4145356645;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;310120218;202P000125;ANATEL, C.A.;4263687924;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;410997982;7000000550;ANDIAMO 24 C.A;4143688194;EXITOSA;NO ESTA INTERESADO;SI;NO SABE;NO;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;MANUEL DAGNINO
JURIDICO;411320668;7000000730;ANDREA LA TIENDA INTERCONTINENTAL, C.A.;4146686291;NO EXISTOSA;USUARIO ERRADO;;;;;;;COQUIVACOA
JURIDICO;411440876;7000001886;ANDRYJONS FOTOGRAFIA, C.A;4246787470;EXITOSA;ESTA INTERESADO;NO;;SI;;;;OLEGARIO VILLALOBOS
JURIDICO;403588970;2900045556;ANPROCA C.A;2617782388;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;411400912;7000000984;ANTOJITOS CRIOLLOS C.A;4146315130;NO EXISTOSA;USUARIO ERRADO;;;;;;;CHIQUINQUIRA
JURIDICO;295951892;2900032849;APPIMCA C.A;2617440179;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;408009188;7000000353;APSU PROCESS MANAGEMENT, S.A;2614150222;EXITOSA;LO UTILIZAN PARA NOMINA;SI;Gálac;NO;MEDIANA;SATISFACTORIA;ES SENCILLO DE MANEJAR;OLEGARIO VILLALOBOS
JURIDICO;405900024;2900048699;AQUA FARM DEL LAGO,CA;41469917155;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;406538639;2900047674;AQUARELLA DESING, C.A;4121285423;EXITOSA;SIN NOVEDAD;NO;;NO;;;;OLEGARIO VILLALOBOS
JURIDICO;402701403;7000002065;AQUARIUM PENT SHOP, C.A;2613692574;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;405584572;2900052918;A QUE WITO COMPAÑIA ANONIMA;2617995165;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
JURIDICO;411334120;7000000591;ARA EXPRESS CA;2617341052;NO EXISTOSA;NO CONTESTA;;;;;;;LUIS HURTADO HIGUERA
JURIDICO;410227770;7000000971;ARAGOM, SOCIEDAD CIVIL;4143683615;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;413175819;7000002229;ARANTILLE, C.A.;4146271544;NO EXISTOSA;NO CONTESTA;NO;;;;;;OLEGARIO VILLALOBOS
JURIDICO;302976405;7000001054;ARAUJO, ESPINOZA Y ASOCIADOS, SC;2617833004;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;407683802;2900051491;ARCOWELD, C.A;2614005001;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;402818971;2900042085;AREA DESIGN C.A.;2617973589;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403105413;2900044672;AREPAS FULL SABOR C-A;4168602439;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;403105413;2900050204;AREPAS FULL SABOR C-A;4126575525;NO EXISTOSA;NO CONTESTA;;;;;;;CHIQUINQUIRA
JURIDICO;403217440;2900042336;AREPAS LA OCHOERA, C.A;2617788925;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;304444311;203R000670;AREPAS SANTA RITA, C.A.;2617982024;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403065721;2900046018;AR MOTOR´S C.A. (VENTA DE RESPUESTO);2617594905;NO EXISTOSA;NO CONTESTA;;;;;;;CACIQUE MARA
JURIDICO;296414700;2900022621;ARQUIPINTURA C.A;2617410199;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;300034640;2040000036;ARQUITECNICA CA;2617916182;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;412579436;7000001679;ARRANCA EXPRESS, C.A.;4146161681;EXITOSA;SIN NOVEDAD;SI;a2;NO;ALTA;INSATISFACTORIA;ES ESTABLE, NO SE CUELGA;CHIQUINQUIRA
JURIDICO;410457600;7000000596;ARRECIFE SEAFOOD C.A;4246003439;NO EXISTOSA;NO CONTESTA;;;;;;;CECILIO ACOSTA
JURIDICO;296322562;2900024674;ARRENDADORA MEDICA MARACAIBO C.A;4246740393;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;409571866;2900052041;ART DENTAL PLUS, C.A.;4146489550;EXITOSA;NO ESTÁ INTERESADO;NO;;;;;;OLEGARIO VILLALOBOS
JURIDICO;311975012;7000001267;ARTEMANIA NUEVA ERA, C.A (DEPOSITO);4146365744;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;311975012;7000001270;ARTEMANIA NUEVA ERA, CA (DEPOSITO);4146365744;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;311975012;7000001271;ARTEMANIA NUEVA ERA, CA (DEPOSITO);4146365744;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;311975012;7000001268;ARTEMANIA NUEVA ERA, CA (DEPOSITO);4146365744;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;311975012;7000001269;ARTEMANIA NUEVA ERA, CA (DEPOSITO);4146365744;NO EXISTOSA;NO CONTESTA;;;;;;;BOLIVAR
JURIDICO;406827940;2900047752;ARTE MIA VALENTINA, C.A.;4246145303;NO EXISTOSA;NO CONTESTA;;;;;;;JUANA DE AVILA
JURIDICO;295791313;2900020578;ARTEMISA, C.A.;2617920893;NO EXISTOSA;NO CONTESTA;;;;;;;COQUIVACOA
JURIDICO;410250810;2900052786;ARTE SANO MARKET , C.A;2617368485;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;298701790;2900029125;ART NOUVEAU GALERIA, C.A.;7932780;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;403138265;7000001348;ASADERO EL TRIUNFO;4149643797;EXITOSA;NO ESTÁ INTERESADO;NO;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;310252050;203P000238;ASCENSO, C.A.;6142886;NO EXISTOSA;TLF NO VALIDO;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;303225578;2000814243;ASCENSORES METROPOLIS C.A.;4146555900;EXITOSA;SIN NOVEDAD;NO;;NO;;;;CHIQUINQUIRA
JURIDICO;412435949;7000002145;ASECON, C.A;2617931619;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;301189310;2000050341;ASERRADERO ORENSE CA;2617652965;NO EXISTOSA;NO CONTESTA;;;;;;;CRISTO DE ARANZA
JURIDICO;314661442;2900010905;ASERRADERO TOTON C.A;4146237787;EXITOSA;NO ESTÁ AUTORIZADO;SI;;;;;;FRANCISCO EUGENIO BUSTAMANTE
JURIDICO;309588630;2900031724;ASESORAMIENTO DE BELLEZA INTEGRAL LM C.A;7978403;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;302519756;215P000013;ASESORAMIENTO TECN EN REFRIG INDUST Y MAT.ELECT CA;2617534906;NO EXISTOSA;NO CONTESTA;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;70175281;2000021456;ASESORES ADUANEROS, C.A.;8088199;NO EXISTOSA;NO CONTESTA;;;;;;;SANTA LUCIA
JURIDICO;310043019;202R000631;ASESORES EN INSTALACIONES DE LAB. Y MEDICAS,C.A.;7780527;NO EXISTOSA;NO CONTESTA;;;;;;;CARRACCIOLO PARRA PEREZ
JURIDICO;309846892;203P000825;ASESORES GLOBALES, C.A;2617934763;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;302982235;2000813350;ASESORES TECNICOS CORPORATIVOS S.A.;4166625865;NO EXISTOSA;NO CONTESTA;;;;;;;OLEGARIO VILLALOBOS
JURIDICO;401086020;2900045426;ASHANTI, C.A.;4267485467;NO EXISTOSA;TLF NO VALIDO;;;;;;;CHIQUINQUIRA
JURIDICO;411138088;7000000174;ASIATICOS LAS DELICIAS,C.A;4146363796;EXITOSA;EMPRESA CERRADA;;;;;;;CHIQUINQUIRA
JURIDICO;298545062;2900031753;ASOC. COOP. DE RECREACION Y ACONDICIONAMIENTO FISICO;7536071;NO EXISTOSA;NO CONTESTA;;;;;;;RAUL LEONI
JURIDICO;296041040;2900028816;ASOC. COOPERATIVA CREACIONES R & G;2613241199;NO EXISTOSA;NO CONTESTA;;;;;;;MANUEL DAGNINO
